,Movie,Released Year,Certificate,Duration,Genre,Rating,Metascore,Votes
66, WandaVision,2021,TV-PG,37 min,"Action, Comedy, Drama",7.8,Not available,"20,357"
67, WandaVision,2021,TV-14,42 min,"Action, Comedy, Drama",9.1,Not available,"20,090"
68,Space Sweepers,2021,TV-MA,136 min,"Action, Adventure, Drama",6.6,64,"19,792"
69, Loki,2021– ,TV-14,51 min,"Action, Adventure, Fantasy",8.8,Not available,"19,789"
70,Moxie,2021,PG-13,111 min,"Comedy, Drama, Music",6.7,54,"19,663"
71,Night Stalker: The Hunt for a Serial Killer,2021,TV-MA,189 min,"Documentary, Crime, Mystery",7.5,Not available,"19,405"
72,Bad Trip,2021,Unrated,86 min,Comedy,6.6,61,"19,100"
73, WandaVision,2021,TV-PG,33 min,"Action, Comedy, Drama",8.2,Not available,"18,765"
74,Yes Day,2021,PG,86 min,"Comedy, Family",5.7,46,"18,170"
75,To All the Boys: Always and Forever,2021,TV-14,109 min,"Comedy, Drama, Romance",6.3,65,"18,149"
76, WandaVision,2021,TV-PG,47 min,"Action, Comedy, Drama",9.0,Not available,"17,990"
77, WandaVision,2021,TV-PG,50 min,"Action, Comedy, Drama",8.4,Not available,"17,879"
78,The Innocent,2021,TV-MA,467 min,"Crime, Drama, Mystery",7.9,Not available,"17,832"
79,Wrong Turn,2021,R,109 min,"Horror, Thriller",5.5,46,"17,569"
80, WandaVision,2021,TV-PG,38 min,"Action, Comedy, Drama",8.9,Not available,"17,469"
81, Attack on Titan,2013–2021,TV-MA,24 min,"Animation, Action, Adventure",9.3,Not available,"16,819"
82, Loki,2021– ,TV-14,53 min,"Action, Adventure, Fantasy",9.0,Not available,"16,336"
83, WandaVision,2021,TV-PG,38 min,"Action, Comedy, Drama",8.5,Not available,"16,320"
84,Firefly Lane,2021– ,TV-MA,Not available,"Drama, Romance",7.5,Not available,"16,064"
85,Fatherhood,2021,PG-13,109 min,"Comedy, Drama",6.7,53,"15,817"
86,Below Zero,2021,TV-MA,106 min,"Action, Adventure, Crime",6.2,Not available,"15,557"
87,Karnan,2021,158 min,158 min,"Action, Drama",8.3,Not available,"15,547"
88,Infinite,2021,PG-13,106 min,"Action, Sci-Fi, Thriller",5.4,28,"15,414"
89,The Marksman,2021,PG-13,108 min,"Action, Drama, Thriller",5.6,44,"15,318"
90,Superman and Lois,2021– ,TV-14,42 min,"Action, Adventure, Drama",7.9,Not available,"15,290"
91,The Tomorrow War,2021,PG-13,140 min,"Action, Adventure, Sci-Fi",6.9,45,"15,233"
92, The Falcon and the Winter Soldier,2021,TV-14,47 min,"Action, Adventure, Drama",7.7,Not available,"15,203"
93,Willy's Wonderland,2021,TV-MA,88 min,"Action, Comedy, Horror",5.6,44,"14,999"
94,Crime Scene: The Vanishing at the Cecil Hotel,2021,TV-MA,219 min,"Documentary, Crime, Mystery",5.9,Not available,"14,707"
95,The Map of Tiny Perfect Things,2021,PG-13,98 min,"Comedy, Fantasy, Romance",6.8,61,"14,581"
96,The Nevers,2021– ,TV-MA,58 min,"Action, Drama, Fantasy",7.4,Not available,"14,438"
97, Attack on Titan,2013–2021,TV-MA,24 min,"Animation, Action, Adventure",9.7,Not available,"13,988"
98, The Falcon and the Winter Soldier,2021,TV-14,53 min,"Action, Adventure, Drama",8.8,Not available,"13,763"
99,Bliss,I 2021,R,103 min,"Drama, Romance, Sci-Fi",5.3,40,"13,686"
100,Awake,III 2021,TV-MA,96 min,"Action, Adventure, Drama",4.8,35,"13,656"
101,Them,2021– ,TV-MA,45 min,"Drama, Horror, Thriller",7.3,Not available,"13,487"
102, The Falcon and the Winter Soldier,2021,TV-14,47 min,"Action, Adventure, Drama",7.9,Not available,"13,145"
103, Loki,2021– ,TV-14,42 min,"Action, Adventure, Fantasy",7.9,Not available,"13,145"
104, Attack on Titan,2013–2021,TV-MA,24 min,"Animation, Action, Adventure",8.9,Not available,"13,013"
105, Attack on Titan,2013–2021,TV-MA,24 min,"Animation, Action, Adventure",9.8,Not available,"12,972"
106,The Irregulars,2021,TV-14,Not available,"Crime, Drama, Fantasy",5.9,Not available,"12,239"
107, Attack on Titan,2013–2021,TV-MA,24 min,"Animation, Action, Adventure",9.7,Not available,"12,211"
108, The Falcon and the Winter Soldier,2021,TV-14,51 min,"Action, Adventure, Drama",8.0,Not available,"12,165"
109, Attack on Titan,2013–2021,TV-MA,24 min,"Animation, Action, Adventure",9.1,Not available,"12,019"
110,The Big Bull,2021,153 min,153 min,"Biography, Crime, Drama",6.1,Not available,"11,629"
111, Loki,2021– ,TV-14,48 min,"Action, Adventure, Fantasy",9.4,Not available,"11,580"
112,Dota: Dragon's Blood,2021– ,TV-MA,25 min,"Animation, Action, Adventure",8.0,Not available,"11,510"
113, The Falcon and the Winter Soldier,2021,TV-14,49 min,"Action, Adventure, Drama",7.8,Not available,"11,488"
114, Attack on Titan,2013–2021,TV-MA,24 min,"Animation, Action, Adventure",9.2,Not available,"11,450"
115, The Falcon and the Winter Soldier,2021,TV-14,57 min,"Action, Adventure, Drama",8.0,Not available,"11,339"
116, Attack on Titan,2013–2021,TV-MA,24 min,"Animation, Action, Adventure",9.7,Not available,"11,255"
117,Red Dot,2021,TV-MA,86 min,"Drama, Horror, Thriller",5.5,Not available,"11,219"
118,Clarkson's Farm,2021– ,TV-PG,45 min,Documentary,9.3,Not available,"11,204"
119,Star Wars: The Bad Batch,2021– ,TV-PG,Not available,"Animation, Action, Adventure",8.4,Not available,"10,545"
120,The Unholy,2021,PG-13,99 min,"Drama, Horror, Mystery",5.0,36,"10,511"
121,The One,2021– ,TV-MA,Not available,"Crime, Drama, Sci-Fi",6.6,Not available,"10,501"
122,Deadly Illusions,2021,R,114 min,"Drama, Thriller",3.7,Not available,"10,289"
123,Vakeel Saab,2021,TV-14,153 min,"Action, Crime, Drama",7.8,Not available,"10,154"
124,Who Killed Sara?,2021– ,TV-MA,Not available,"Crime, Drama, Mystery",6.4,Not available,"9,897"
125,Paper Lives,2021,TV-MA,96 min,Drama,6.7,Not available,"9,882"
126,Tribes of Europa,2021– ,TV-MA,Not available,"Action, Adventure, Drama",6.8,Not available,"9,684"
127,The United States vs. Billie Holiday,2021,R,126 min,"Biography, Drama, Music",6.3,52,"9,678"
128,Wish Dragon,2021,PG,98 min,"Animation, Adventure, Comedy",7.2,60,"9,501"
129,Stuck Apart,2021,TV-MA,96 min,"Comedy, Drama",6.1,Not available,"9,372"
130,Harga,2021– ,"
Drama            ",Not available,Drama,9.7,Not available,"9,309"
131,Halston,2021,TV-MA,240 min,"Biography, Drama",7.5,Not available,"9,307"
132,Iste Bu Benim Masalim,2021,40 min,40 min,"Musical, Romance",1.5,Not available,"9,225"
